"","Group.1","Group.2","x"
"254",10,"May",49282
"255",11,"May",96315
"256",12,"May",100631
"257",13,"May",58088
"258",14,"May",97504
"259",15,"May",86500
"260",16,"May",106144
"261",17,"May",38494
"262",18,"May",75156
"263",19,"May",75567
"264",20,"May",85144
"265",21,"May",66975
"266",22,"May",138604
"267",23,"May",114951
"268",24,"May",55600
"269",25,"May",30191
"270",26,"May",53504
"271",27,"May",89080
"272",28,"May",60873
"273",29,"May",52888
"274",30,"May",96401
"275",31,"May",77494
"276",1,"November",34524
"277",2,"November",71809
"278",3,"November",42937
"279",4,"November",38118
"280",5,"November",33611
"281",6,"November",71663
"282",7,"November",86129
"283",8,"November",31674
"284",9,"November",72546
"285",10,"November",37144
"286",11,"November",50589
"287",12,"November",61922
"288",13,"November",83357
"289",14,"November",114970
"290",15,"November",39533
"291",16,"November",48244
"292",17,"November",36702
"293",18,"November",26301
"294",19,"November",39962
"295",20,"November",58125
"296",21,"November",72746
"297",22,"November",39875
"298",23,"November",30683
"299",24,"November",39015
"300",25,"November",44639
"301",26,"November",39838
"302",27,"November",18846
"303",28,"November",20032
"304",29,"November",57458
"305",30,"November",187537
"306",1,"October",28564
"307",2,"October",40456
"308",3,"October",50927
"309",4,"October",25812
"310",5,"October",49390
"311",6,"October",35516
"312",7,"October",40854
"313",8,"October",53402
"314",9,"October",51364
"315",10,"October",52632
"316",11,"October",29637
"317",12,"October",45348
"318",13,"October",38968
"319",14,"October",28249
"320",15,"October",58244
"321",16,"October",56580
"322",17,"October",49703
"323",18,"October",21265
"324",19,"October",41110
"325",20,"October",40897
"326",21,"October",33108
"327",22,"October",47480
"328",23,"October",45494
"329",24,"October",85747
"330",25,"October",34250
"331",26,"October",71501
"332",27,"October",78903
"333",28,"October",60320
"334",29,"October",34901
"335",30,"October",41852
"336",31,"October",45450
"337",1,"September",36128
"338",2,"September",38988
"339",3,"September",31043
"340",4,"September",46539
"341",5,"September",34071
"342",6,"September",33367
"343",7,"September",39824
"344",8,"September",74247
"345",9,"September",74009
"346",10,"September",35421
"347",11,"September",55931
"348",12,"September",106864
"349",13,"September",60172
"350",14,"September",81597
"351",15,"September",62215
"352",16,"September",38610
"353",17,"September",32431
"354",18,"September",36155
"355",19,"September",40402
"356",20,"September",22799
"357",21,"September",55134
"358",22,"September",37982
"359",23,"September",24124
"360",24,"September",35234
"361",25,"September",59194
"362",26,"September",79502
"363",27,"September",28161
"364",28,"September",50525
"365",29,"September",51223
"366",30,"September",34109
