"","Group.1","Group.2","x"
"255",11,"May",2884
"256",12,"May",2166
"257",13,"May",1810
"258",14,"May",3564
"259",15,"May",2716
"260",16,"May",3173
"261",17,"May",179
"262",18,"May",1891
"263",19,"May",848
"264",20,"May",2392
"265",21,"May",562
"266",22,"May",5292
"267",23,"May",3450
"268",24,"May",1188
"269",25,"May",875
"270",26,"May",1451
"271",27,"May",8574
"272",28,"May",1137
"273",29,"May",1370
"274",30,"May",3097
"275",31,"May",3360
"276",1,"November",533
"277",2,"November",1315
"278",3,"November",743
"279",4,"November",605
"280",5,"November",860
"281",6,"November",2776
"282",7,"November",2350
"283",8,"November",624
"284",9,"November",746
"285",10,"November",1517
"286",11,"November",1655
"287",12,"November",790
"288",13,"November",3121
"289",14,"November",5026
"290",15,"November",813
"291",16,"November",1056
"292",17,"November",1049
"293",18,"November",370
"294",19,"November",373
"295",20,"November",911
"296",21,"November",1702
"297",22,"November",1085
"298",23,"November",902
"299",24,"November",748
"300",25,"November",1016
"301",26,"November",616
"302",27,"November",820
"303",28,"November",786
"304",29,"November",1758
"305",30,"November",7935
"306",1,"October",648
"307",2,"October",910
"308",3,"October",1002
"309",4,"October",200
"310",5,"October",2895
"311",6,"October",844
"312",7,"October",768
"313",8,"October",1267
"314",9,"October",1520
"315",10,"October",731
"316",11,"October",1142
"317",12,"October",1169
"318",13,"October",570
"319",14,"October",154
"320",15,"October",1673
"321",16,"October",783
"322",17,"October",781
"323",18,"October",333
"324",19,"October",200
"325",20,"October",471
"326",21,"October",1190
"327",22,"October",1957
"328",23,"October",394
"329",24,"October",2348
"330",25,"October",1108
"331",26,"October",1517
"332",27,"October",1584
"333",28,"October",2593
"334",29,"October",1240
"335",30,"October",380
"336",31,"October",603
"337",1,"September",855
"338",2,"September",905
"339",3,"September",2039
"340",4,"September",1348
"341",5,"September",469
"342",6,"September",2235
"343",7,"September",461
"344",8,"September",5100
"345",9,"September",3628
"346",10,"September",501
"347",11,"September",2801
"348",12,"September",5221
"349",13,"September",5979
"350",14,"September",3508
"351",15,"September",829
"352",16,"September",234
"353",17,"September",1129
"354",18,"September",713
"355",19,"September",592
"356",20,"September",450
"357",21,"September",967
"358",22,"September",366
"359",23,"September",863
"360",24,"September",1440
"361",25,"September",1694
"362",26,"September",3363
"363",27,"September",924
"364",28,"September",2690
"365",29,"September",695
"366",30,"September",1404
